Taille	g1	g2	g3	g4	g5	g6	gg
2	137	N	N	N	N	N      137
3	476	226	N	N	N	N      226
4	1360	351	71	N	N	N      71
5	3098	589	40	2	N	N      2
6	5066	518	20	0	0	N      0
7	7211	430	5	0	0	0      0
8	8778	327	2	0	0	0      0
9	9231	191	2	0	0	0      0
10	8739	85	0	0	0	0      0
11	7225	54	0	0	0	0      0
12	5525	29	0	0	0	0      0
13	3958	2	0	0	0	0      0
14	2614	3	0	0	0	0      0
15	1741	5	0	0	0	0      0
16	1034	1	0	0	0	0      0
17	632	0	0	0	0	0      0
18	357	1	0	0	0	0      0
19	234	0	0	0	0	0      0
20	126	0	0	0	0	0      0
