# Taille Rimes_debut	Mots_composées	Mots_non_composés
2	308	174	134
3	1130	477	653
4	2190	718	1472
5	3390	806	2584
6	3880	821	3059
7	3656	765	2891
8	2813	589	2224
9	1915	436	1479
10	1241	305	936
11	726	182	544
12	381	113	268
13	187	61	126
14	83	29	54
15	40	16	24
16	15	4	11
17	7	1	6
18	2	0	2
19	2	0	2
20	1	0	1
