#X	p2	p3	p4	p5	p6	p7
2	86	78	48	23	9	2
3	226	90	31	9	2	0
4	351	71	10	2	0	0
5	589	40	2	0	0	0
6	518	20	0	0	0	0
7	430	5	0	0	0	0
8	327	2	0	0	0	0
9	191	2	0	0	0	0
10	85	0	0	0	0	0
11	54	0	0	0	0	0
12	29	0	0	0	0	0
13	2	0	0	0	0	0
14	5	0	0	0	0	0
15	8	0	0	0	0	0
16	1	0	0	0	0	0
17	0	0	0	0	0	0
18	1	0	0	0	0	0
19	0	0	0	0	0	0
20	0	0	0	0	0	0
